Data for Google Motion Chart. ,,,,,,,,,,
< Return to Front Sheet,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Borough,Year,Inner or Outer London,% 16-24 with NVQ1 or lower,% achieving 5 A*-C GCSE's inc. English & Maths  (maintained schools),% pupils attending independent schools (school location),% of 16-64 in emp in managerial/professional/technical occs,% aged 18-24 in full time education,% 16-24 with NVQ3+,% pupils achieving 5 A*-C GCSE's (maintained schools),% 19 year olds achieving level 3 qualifications (maintained schools)
Hammersmith and Fulham,2007,Inner,19.9,55.6,25.2,66,29.4,44.5,73.4,57.6
Hammersmith and Fulham,2008,Inner,17.1,64.1,25.8,68.3,45.5,56.5,82.2,59.8
Hammersmith and Fulham,2009,Inner,24.2,68.2,26.1,63.4,34.5,41.6,89.1,63.2
Hammersmith and Fulham,2010,Inner,9.7,70.8,25.8,65.5,54.4,71.6,91.2,66
Haringey,2005,Inner,28.8,34.3,6,53.8,34.9,37.6,51.7,42.3
Haringey,2006,Inner,29.7,37.4,6.2,52.6,39.4,39.2,56.3,43.8
Haringey,2007,Inner,36.2,42.1,6.5,53.3,41.7,34.2,60.1,45.9
Haringey,2008,Inner,39.2,45.7,6.9,52.1,28.2,30,67.7,49.3
Haringey,2009,Inner,25.8,48,7,62.4,42,38.2,73,54.2
Haringey,2010,Inner,24.8,56.8,7.1,57.6,46.2,38.2,76.6,55.1
Harrow,2005,Outer,20.2,53.4,14.6,52.4,38,38.6,64.3,65.6
Harrow,2006,Outer,17.3,56.1,14.7,51.3,36.3,40.5,68,66
Harrow,2007,Outer,16,57.7,14.5,49.7,37.6,43.4,69.5,66.3
Harrow,2008,Outer,24.3,60.8,14.8,47.1,42.3,36.4,74.8,70
Harrow,2009,Outer,17.8,60.7,14.3,49.9,40.5,33,78.1,73.6
Harrow,2010,Outer,13.1,63.6,14,57.5,44,50,79.8,72.8
Havering,2005,Outer,23.5,54.6,2.5,37.7,24.2,39.5,63.3,46.3
Havering,2006,Outer,27.9,53.7,2.4,33.5,20.2,37,64.4,48.6
Havering,2007,Outer,31.3,55.6,2.4,39.3,21,31.9,67.5,46.1
Havering,2008,Outer,29,58.1,2.3,44.3,23.1,42.2,70.8,49.2
Havering,2009,Outer,30,62.3,2.3,38.2,16,44.9,77.4,51.2
Havering,2010,Outer,27.2,63.5,2.3,47.7,19.6,40.4,79.2,51.4
Hillingdon,2005,Outer,20.6,43.5,8,46.8,47.1,46.8,54.7,45.7
Hillingdon,2006,Outer,18.9,44.9,7.9,43.6,34.2,39.4,58.2,46.7
Hillingdon,2007,Outer,26.9,46.4,8,44.4,39.6,45.6,63.9,46.7
Hillingdon,2008,Outer,28.1,52,8.2,42.5,31.1,41.2,69,51.2
Hillingdon,2009,Outer,21.3,55.8,7.9,41.4,41,55.7,80.7,55.1
Hillingdon,2010,Outer,21.5,58.2,7.8,40.5,26.2,40.7,83.7,53.2
Hounslow,2005,Outer,29.7,50.9,3,46.5,31.7,37.7,63.1,48.1
Hounslow,2006,Outer,23.6,50.5,3.1,50,31.8,45.4,64.3,50.6
Hounslow,2007,Outer,24.8,51.8,3.1,49.9,39.3,40.7,67.8,52.5
Hounslow,2008,Outer,28.4,56.6,3.4,49.7,34.5,42.4,75.9,56.1
Hounslow,2009,Outer,29.4,58.7,3.2,49.5,36.2,46.5,82.4,60.1
Hounslow,2010,Outer,24.1,62,3.4,45.6,42.2,37.4,86.2,59
Islington,2005,Inner,27.1,32.8,3.2,57.7,27.6,45.2,47,32.5
Islington,2006,Inner,26,37.4,3.1,61.8,24.4,36.1,49.3,36.5
Islington,2007,Inner,30.7,38.9,3.3,64.9,35,35.7,56.4,35.2
Islington,2008,Inner,25.4,45,3.5,62.8,36,50.9,65.3,36.7
Islington,2009,Inner,24.4,50,3.5,70.1,41.7,56.2,72,41.2
Islington,2010,Inner,21.8,48.9,3.7,70.3,40.7,55.9,74.5,40.9
Kensington and Chelsea,2005,Inner,16,54.3,49.6,73.8,43.1,53.1,63,45.1
Kensington and Chelsea,2006,Inner,20.1,56.6,49.7,71.4,49.9,54.7,68.4,48.7
Kensington and Chelsea,2007,Inner,11.6,59.9,50.2,69.6,45.7,71.3,71.3,47
Kensington and Chelsea,2008,Inner,14,66.1,51.7,69.1,54.3,57,84.9,48.2
Kensington and Chelsea,2009,Inner,19.2,71.3,52.8,74.7,48.2,55.6,92.4,49.7
Kensington and Chelsea,2010,Inner,18.8,72.2,52.4,72.5,52.2,57.1,90,52.6
Kingston upon Thames,2005,Outer,22.9,58.6,14.3,57.2,36.6,44.9,68.1,61.9
Kingston upon Thames,2006,Outer,22.8,61.7,14.2,60.6,30.4,54.1,70.7,59.8
Kingston upon Thames,2007,Outer,16.8,62.5,14.3,66.5,45.3,56.7,74.1,64.4
Kingston upon Thames,2008,Outer,17.9,68.2,14.4,60.9,48.7,65.9,78.4,64
Kingston upon Thames,2009,Outer,22.7,68.7,14.4,61,47.2,55.5,83.3,66.2
Kingston upon Thames,2010,Outer,17.2,70.4,14.2,60.2,49.4,57.1,86.8,69.1
Lambeth,2005,Inner,31.1,41.7,7.3,58.2,22.7,36.9,55.4,39.4
Lambeth,2006,Inner,26,41.4,7.1,57.1,25.8,51.4,56,42.9
Lambeth,2007,Inner,23.3,47.1,6.4,57.7,39.3,48.8,62.3,45.3
Lambeth,2008,Inner,28.1,53.5,6,52.5,29.9,39.5,72.5,48
Lambeth,2009,Inner,26.8,53,5.5,58.9,35.8,45.2,74.2,52.6
Lambeth,2010,Inner,21.3,60.1,5.2,62.8,44.7,55.1,79.1,49.1
Lewisham,2005,Inner,33.7,40.8,4.9,49.3,39.5,29,54.8,39.7
Lewisham,2006,Inner,36.9,40.4,5,46.2,25.4,26.7,55,42.1
Lewisham,2007,Inner,24.4,45.9,4.9,48.6,38.6,48.4,59.8,44
Lewisham,2008,Inner,30.7,47,4.7,54.6,28.8,46.8,62,48.2
Lewisham,2009,Inner,14.4,48,4.8,53.9,27.6,45.9,64,51.6
Lewisham,2010,Inner,26.6,55,4.6,57.4,27.6,49.8,67.2,51.4
Merton,2005,Outer,28.6,39.5,13.1,57.6,14.7,37.5,48.2,49.4
Merton,2006,Outer,28.2,39.7,12.8,56.7,22.3,36.5,48.7,47.8
Merton,2007,Outer,26.2,46.2,13,54.2,29,41.4,61.8,51.3
Merton,2008,Outer,25,48,13.5,54.3,27.1,34.4,69.2,53.9
Merton,2009,Outer,32,52.4,13.4,55.9,28,34.8,77.1,58
Merton,2010,Outer,19.5,59.5,13.2,55.6,34.9,49.3,85.5,57
Newham,2005,Inner,31.5,41.1,1.2,36.5,31.8,31.7,52.8,41.9
Newham,2006,Inner,23.4,44,1.1,31.5,42.1,38.7,55.7,44.7
Newham,2007,Inner,28.4,45.3,1.4,38.5,31.1,36.5,57.5,49.1
Newham,2008,Inner,26.4,47.1,1.4,30.8,41.5,35.7,63.7,47.1
Newham,2009,Inner,22.4,52.1,1.6,26.6,48.1,30,69.2,50.8
Newham,2010,Inner,20.3,55,2.4,33.6,45.9,42.5,73.9,51.1
Redbridge,2005,Outer,22.4,59.1,8.3,56,47.1,40.6,72.1,60.5
Redbridge,2006,Outer,18.3,61.5,8,51.6,37,45.8,73.6,63.1
Redbridge,2007,Outer,27.9,63.9,7.9,53.9,37.3,43.9,73.8,63.4
Redbridge,2008,Outer,23.4,64.5,7.7,51.4,50.3,50.2,77.5,64.6
Redbridge,2009,Outer,20.3,69.3,7.7,45.1,39.4,43.9,81.2,66.8
Redbridge,2010,Outer,16.5,68.1,7.7,49.1,35.1,50.1,81.1,69
Richmond upon Thames,2005,Outer,17.5,49.7,29.1,73.4,39.3,47.4,56.5,59.2
Richmond upon Thames,2006,Outer,18.1,48.5,29.7,69.4,35.9,59.4,58.2,61.1
Richmond upon Thames,2007,Outer,26,54,30.1,68.1,28.6,41.6,64.1,60.1
Richmond upon Thames,2008,Outer,28.4,55.7,30.8,71.5,41.1,45.3,70.9,61.6
Richmond upon Thames,2009,Outer,26,61.4,30.9,70.6,45,60.3,79.3,63.4
Richmond upon Thames,2010,Outer,16.5,61.7,31.1,64.8,21,47.2,81.4,63.7
Southwark,2005,Inner,38.8,34.4,12.5,55.6,19.1,41.8,48.8,42.4
Southwark,2006,Inner,26,38.4,12.4,45.8,32.2,42.9,52.7,43.7
Southwark,2007,Inner,27.4,42.7,12.4,55.4,28.2,54.2,56.3,47.4
Southwark,2008,Inner,17.5,46,12.7,55.5,38.9,55.7,67.5,51.1
Southwark,2009,Inner,17.3,56.1,12.8,59,37.6,49.4,78.9,55.4
Southwark,2010,Inner,19.3,57.3,12.7,55.2,46.9,59.5,81.2,52.9
Sutton,2005,Outer,32.2,63.1,4.9,47.9,17.8,42.5,70.8,59.1
Sutton,2006,Outer,22.6,65,4.7,45.3,31.9,49.3,73.8,58.6
Sutton,2007,Outer,32.4,67.2,4.9,43.3,36.5,31.4,78.8,60.6
Sutton,2008,Outer,30.9,67.9,5.1,45,28.8,46.2,84.8,62.9
Sutton,2009,Outer,21.8,70.6,5,50.6,37,44.4,88.9,65.1
Sutton,2010,Outer,23.2,74.4,4.7,50.4,27.1,42.7,91.2,66.1
Tower Hamlets,2005,Inner,27.2,34,2.7,47.6,40.4,41.1,56.3,33.8
Tower Hamlets,2006,Inner,29.7,36.5,2.9,51.4,40.1,43.3,59.5,37.6
Tower Hamlets,2007,Inner,33.8,41.2,3,51.9,27.4,42.3,59.1,39
Tower Hamlets,2008,Inner,21.3,45.9,3.3,54.3,28.6,47.7,66.3,41.3
Tower Hamlets,2009,Inner,15,51.8,3.6,54.7,37.6,48.6,75,45
Tower Hamlets,2010,Inner,17.1,60.4,4.3,58.7,42.2,55.6,79.8,42.9
Waltham Forest,2005,Outer,27.7,38.6,4.7,41.3,31.3,23.5,51.1,45.3
