,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
UKF13,South and West Derbyshire,12508,12708,12247,12650,13121,13768,14555,15248,15946,16227,16324,15116,16084,16915,17378,18184,18396,18375,19131,19566
UKF14,Nottingham,18297,17863,18476,19726,20186,20452,22222,22902,22924,23596,24484,24871,24968,25066,25155,25200,26386,27447,28273,29362
UKF15,North Nottinghamshire,11487,11701,12051,12133,12572,13157,13658,14584,15249,16062,16331,15514,15938,16838,17093,17065,17857,17859,18390,18654
UKF16,South Nottinghamshire,10380,11023,11681,11869,12449,12694,12663,13996,14599,14774,14718,14458,14291,14306,15113,15953,16568,16715,16907,17336
UKF21,Leicester,14134,14627,15212,15687,16505,17240,17789,18096,18942,18620,18950,18630,18603,19049,19884,20091,21294,22376,22709,22546
UKF22,Leicestershire CC and Rutland,14061,13359,14142,14559,15012,16049,16758,17719,18900,19740,19947,19317,19833,19799,20442,21215,22333,22821,23547,24184
UKF24,West Northamptonshire,15183,15985,17092,17276,17475,18396,19072,19742,21054,22280,22564,21860,22865,22602,23406,24505,25334,25419,26945,28035
UKF25,North Northamptonshire,13112,13750,14391,14414,14645,15286,15678,16227,17236,17928,18621,17641,18370,18311,17808,19098,18977,19508,20648,21451
UKF30,Lincolnshire,11836,11862,12273,13021,13543,14385,14039,14330,15103,15522,16136,15353,15824,16111,16563,17346,17837,17843,17643,18016
UKG11,"Herefordshire, County of",12619,13153,13888,14019,14301,15416,15538,16305,17040,17469,18001,16847,17127,18173,18921,19065,19885,19631,19201,19833
UKG12,Worcestershire,12534,13512,14614,14521,14356,15562,16838,16818,17620,17284,17622,16961,17405,18322,19151,19780,20869,21393,21812,22629
UKG13,Warwickshire,16132,16637,16660,16936,17906,18453,18596,19786,20993,21183,21978,21009,21902,23006,24352,26261,27874,29113,29497,30245
UKG21,Telford and Wrekin,15918,15632,15167,15509,16410,16629,17659,18195,18777,19232,19400,18282,18569,19688,21140,21358,21243,21724,22050,23306
UKG22,Shropshire CC,12169,12512,12669,13062,13886,15194,15804,16101,16127,16347,17368,16993,17133,17577,17902,18551,19039,19099,19305,19737
UKG23,Stoke-on-Trent,12288,12331,12574,12594,12761,13618,14347,14683,15538,15350,16107,15653,16607,17436,18376,19256,19650,19892,20513,20908
UKG24,Staffordshire CC,11982,11977,12370,12898,13668,14019,14902,15577,16203,16572,17110,15914,16268,16624,16501,16834,17564,18434,18718,19039
UKG31,Birmingham,14161,14555,14983,15825,16081,17136,17599,18167,18531,19588,19692,19298,19586,19959,19910,20948,21683,22366,24041,24717
UKG32,Solihull,18718,18960,19338,20302,21675,23265,23528,24824,25676,26711,25613,24293,24913,25420,27078,27573,29488,32349,35597,36873
UKG33,Coventry,15113,15588,16211,16636,17435,18090,18932,20108,19853,19738,19426,18858,19476,19632,20412,22010,23237,24016,24622,24890
UKG36,Dudley,11556,11628,12013,12240,13200,13075,13568,14224,14820,15352,15216,14214,14195,14248,14536,14453,15129,15479,16027,16793
UKG37,Sandwell,13074,12686,13156,13355,14133,14093,14573,15098,15921,16631,16312,15627,16111,15903,16427,16991,18119,17945,19175,19365
UKG38,Walsall,11003,11212,11558,11658,11894,11889,12793,13360,13765,13891,13808,13440,14181,14651,14786,15585,16583,16895,17533,18254
UKG39,Wolverhampton,12825,13263,13720,14014,14464,14534,15653,16502,17009,17272,17031,16755,17647,17786,18117,18526,18490,17749,18012,18837
UKH11,Peterborough,17509,18164,18076,18502,19542,20552,21837,22951,24583,26033,24915,23976,23901,23819,24735,25209,26279,26564,27548,28315
UKH12,Cambridgeshire CC,15643,16391,17249,18150,18774,19141,19528,20513,22274,23116,23641,22854,23402,24028,25243,25934,26726,27670,28329,29049
UKH14,Suffolk,13793,13621,14659,15344,16007,16727,17139,17656,18706,19120,19570,18693,19033,19384,19808,20663,21286,21537,22146,22881
UKH15,Norwich and East Norfolk,13511,14099,14450,15073,15702,16576,17506,18772,19829,19921,20088,20144,19453,19461,20465,21093,21557,21736,22685,22971
UKH16,North and West Norfolk,11868,12537,13008,13507,14041,14588,15079,15605,15910,15921,16510,16273,16570,16856,17662,18219,18706,19103,19853,20258
UKH17,Breckland and South Norfolk,11677,12043,12384,12738,13197,13785,14168,14658,15329,15374,15936,15855,16655,17075,18041,18388,19195,19671,19797,19861
UKH21,Luton,14955,16005,16683,17574,18316,19282,19235,20839,22403,23831,25257,23081,21458,20685,20334,21407,22789,23480,24395,26018
UKH23,Hertfordshire,18483,19490,20569,21039,21667,22782,23312,24609,24918,25569,26990,25882,25326,25049,25393,26764,28083,28966,29968,31073
UKH24,Bedford,14470,14236,14918,15215,15894,17066,17968,18821,19403,20497,20620,20417,20328,20944,20616,21272,22368,23653,23625,24220
UKH25,Central Bedfordshire,13433,13305,14052,14361,15082,15736,16265,16695,17067,18077,18079,17070,17088,17537,17835,19121,19936,19898,20352,21009
UKH31,Southend-on-Sea,11595,11985,12718,13277,14173,14739,15002,15007,15565,16003,16498,16329,16115,15569,16087,16062,16792,17070,17218,17529
UKH32,Thurrock,15515,14940,14402,14959,15858,17969,19185,18475,19094,17938,17978,19465,18389,19428,17084,17979,18649,19537,20680,21405
UKH34,Essex Haven Gateway,12263,12269,12871,13619,14060,15220,15396,15984,16544,17105,17276,16524,17221,17182,17639,17849,18859,19039,19488,20690
UKH35,West Essex,14415,14567,15359,16453,17071,18494,18736,19516,20194,20956,21298,19922,20874,20654,21101,21169,22849,23962,24606,25622
UKH36,Heart of Essex,13973,13880,14626,15606,16133,17522,17719,18556,19360,20284,20717,20496,20714,20812,21391,21775,22708,23828,23967,24958
UKH37,Essex Thames Gateway,12524,12518,13240,13906,14316,15484,15733,16399,17020,17727,18144,16927,17491,17617,18336,18680,18991,19456,18797,19542
UKI31,Camden and City of London,146031,143713,153400,154448,162981,179130,191103,211300,226320,254978,255439,263825,269574,276242,280345,287513,308042,307352,337899,342183
UKI32,Westminster,121803,125321,131362,133119,135624,143170,147296,154293,161493,179040,190808,194535,198498,203843,210976,222358,237510,234546,249004,258214
UKI33,Kensington & Chelsea and Hammersmith & Fulham,35412,36678,38710,39356,40652,42792,44652,46863,49136,53627,56576,54072,57086,58798,63097,65568,66319,67544,70701,74598
UKI34,Wandsworth,20835,22310,23966,24700,25305,26136,27352,28936,30156,33344,34992,31477,31763,32650,35542,37643,38800,39176,39608,40368
UKI41,Hackney and Newham,13973,14412,15358,15861,16214,17103,17994,19167,19833,20915,20443,20249,20569,21472,22754,22700,22957,22679,23900,24931
UKI42,Tower Hamlets,46656,46057,50286,50839,52796,57245,62264,69681,75178,83305,83791,87137,83186,91170,87609,88943,91923,92738,93866,97735
UKI43,Haringey and Islington,25366,26843,29355,30441,31452,33418,35348,37506,38896,41967,43906,42410,42617,43222,43263,43853,45098,45369,46955,48251
UKI44,Lewisham and Southwark,18083,18966,20551,21282,22121,23473,24415,25956,26897,29044,29700,28916,31164,32213,32923,33031,33945,34376,35199,36150
UKI45,Lambeth,16631,17554,18883,19635,20526,22039,23050,24480,25107,27246,29410,28475,28942,29964,31110,31589,34637,34762,34985,37126
UKI51,Bexley and Greenwich,12115,12835,13365,13596,14015,14686,15128,15883,16762,17519,17355,16123,16184,16271,16912,17560,18111,18206,18420,18991
UKI52,Barking & Dagenham and Havering,13177,13427,13640,13807,14219,15083,15691,16331,17234,18138,18214,16546,17331,17323,18281,18886,19323,19238,19528,19610
UKI53,Redbridge and Waltham Forest,11000,11563,11998,12376,12877,13639,14136,14794,15478,15823,15883,14118,14180,14300,15409,15826,16361,16575,16969,17603
UKI54,Enfield,13382,13795,14150,14336,14895,15890,16623,17408,18300,19019,18613,17082,17167,16876,17764,17988,18131,18501,18827,19828
UKI61,Bromley,15379,16169,16781,17241,17903,19035,19955,20884,21991,22612,21449,20200,19651,19608,20642,20740,21699,21856,22440,22852
UKI62,Croydon,14857,15730,16379,16834,17554,18745,19471,20345,21254,22436,22195,20320,19442,18712,19221,18835,19815,19463,19751,20710
UKI63,"Merton, Kingston upon Thames and Sutton",15381,16214,16909,17069,17710,18749,19373,20271,21223,22471,22876,21242,21802,22176,23203,23629,24608,23781,24780,25337
UKI71,Barnet,15787,16465,17273,17580,18286,19298,19888,20640,21748,22721,23290,21865,21903,22248,22782,23483,25412,25769,25970,27004
UKI72,Brent,16321,17214,17880,17930,18584,19579,19999,20825,21638,22175,22376,20851,20900,21049,22491,23381,24712,25170,26513,27479
UKI73,Ealing,17509,18303,19197,19372,19850,20939,21173,21929,22938,23633,23219,20932,20968,22279,23391,24445,26001,26254,27651,29342
